,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
130,11.66,-0.69,1.88,-0.44,-0.04,0.02,0.0
131,10.86,-0.36,1.86,-0.75,-0.21,-0.09,0.0
132,9.28,0.17,2.57,-0.58,0.03,-0.01,0.0
133,10.15,0.48,3.45,-0.52,0.29,0.12,0.0
134,10.94,0.11,2.52,-0.53,0.04,0.01,0.0
135,9.31,-0.68,2.79,-0.56,0.16,-0.04,0.0
136,10.59,-0.98,3.34,-0.67,0.06,-0.13,0.0
137,11.19,-0.22,2.06,-0.83,-0.15,-0.11,0.0
138,9.39,-0.18,2.88,-0.63,0.17,-0.09,0.0
139,10.55,0.02,2.79,-0.32,0.04,0.17,0.0
140,10.7,0.02,3.16,-0.42,0.04,0.1,0.0
141,9.19,-1.07,2.45,-0.53,0.17,-0.04,0.0
142,10.63,-1.01,2.59,-0.73,0.3,-0.27,0.0
143,11.4,-0.49,1.87,-0.54,-0.02,-0.18,0.0
144,10.99,-0.7,1.81,-0.88,-0.16,-0.06,0.0
145,8.75,0.26,2.38,-0.57,-0.0,-0.03,0.0
146,11.11,-0.28,1.92,-0.62,-0.2,0.1,0.0
147,11.27,-0.78,1.84,-0.56,0.05,-0.01,0.0
148,9.65,-1.1,2.44,-0.51,0.24,-0.03,0.0
149,11.32,-0.95,2.48,-0.51,0.05,-0.16,0.0
150,10.83,-0.54,2.31,-0.83,-0.22,-0.1,0.0
151,9.09,0.07,3.28,-0.65,-0.08,-0.12,0.0
152,10.53,0.12,3.3,-0.41,0.02,0.17,0.0
153,9.52,-0.75,2.47,-0.52,0.21,0.01,0.0
154,10.72,-0.34,1.88,-0.86,-0.16,-0.1,0.0
155,9.26,-0.24,2.85,-0.52,-0.04,-0.06,0.0
156,10.53,0.22,2.77,-0.33,0.1,0.19,0.0
157,10.78,0.11,2.32,-0.49,0.1,0.17,0.0
158,9.33,-0.85,2.33,-0.44,0.19,0.04,0.0
159,10.78,-1.23,2.81,-0.88,0.18,-0.23,0.0
160,11.18,-0.36,1.65,-0.99,-0.19,-0.09,0.0
161,9.3,-0.22,2.57,-0.58,0.06,-0.07,0.0
162,10.89,0.02,2.57,-0.27,-0.13,0.2,0.0
163,10.54,-0.12,1.86,-0.52,0.06,0.03,0.0
164,9.18,-1.01,2.26,-0.45,0.13,0.04,0.0
165,10.79,-1.0,2.48,-0.86,0.16,-0.22,0.0
166,11.0,-0.59,1.19,-0.94,-0.21,-0.04,0.0
167,9.56,-0.05,2.47,-0.71,0.1,-0.1,0.0
168,10.69,0.09,2.41,-0.42,0.04,0.21,0.0
169,10.98,-0.52,1.27,-0.63,-0.09,-0.03,0.0
170,9.53,-0.79,2.31,-0.44,0.25,-0.03,0.0
171,10.65,-0.49,1.75,-0.9,-0.11,-0.06,0.0
172,9.55,0.15,3.06,-0.74,0.24,-0.08,0.0
173,10.39,0.62,3.62,-0.49,0.24,0.21,0.0
174,10.75,-0.42,2.76,-0.55,-0.04,0.05,0.0
175,9.14,-0.65,2.81,-0.51,0.08,-0.01,0.0
176,10.48,-1.04,3.21,-0.81,0.08,-0.18,0.0
177,10.78,-0.39,1.84,-0.83,-0.1,-0.06,0.0
178,9.35,-0.09,2.97,-0.64,0.16,-0.07,0.0
179,11.31,-0.22,2.54,-0.47,-0.12,0.01,0.0
180,9.02,-0.74,2.75,-0.52,0.19,-0.01,0.0
181,11.26,-0.42,1.92,-0.83,-0.05,-0.02,0.0
182,9.1,0.18,2.89,-0.65,0.22,-0.08,0.0
183,10.5,0.22,3.19,-0.47,0.09,0.17,0.0
184,10.71,-0.31,2.52,-0.54,0.01,0.03,0.0
185,11.41,-0.46,1.95,-0.65,-0.08,0.03,0.0
186,9.16,-0.9,2.67,-0.53,0.16,-0.03,0.0
187,10.19,-1.24,3.23,-0.74,0.11,-0.2,0.0
188,10.83,-0.36,1.84,-0.88,-0.2,-0.11,0.0
189,9.31,-0.19,2.73,-0.65,0.06,-0.07,0.0
190,10.35,0.05,2.78,-0.37,0.16,0.15,0.0
191,11.06,-0.24,2.3,-0.46,-0.1,0.08,0.0
192,8.79,-0.69,2.54,-0.49,0.28,-0.05,0.0
193,11.3,-0.34,2.14,-0.42,-0.14,-0.17,0.0
194,10.81,-0.19,1.65,-0.85,-0.18,-0.09,0.0
195,9.4,0.04,3.0,-0.63,0.05,-0.03,0.0
196,10.65,0.32,3.13,-0.47,0.12,0.2,0.0
197,9.57,-0.96,2.38,-0.59,0.28,-0.04,0.0
198,10.7,-0.95,2.81,-0.74,0.13,-0.22,0.0
199,11.02,-0.26,1.72,-0.89,-0.12,-0.05,0.0
200,9.32,-0.0,2.81,-0.66,0.07,-0.1,0.0
201,10.68,0.1,2.86,-0.38,0.11,0.22,0.0
202,10.98,-0.39,2.01,-0.58,-0.17,0.03,0.0
203,9.33,-1.09,2.38,-0.49,0.13,-0.01,0.0
204,10.61,-1.33,2.86,-0.8,0.13,-0.27,0.0
205,11.53,-0.48,1.57,-0.91,-0.11,-0.04,0.0
206,9.76,-0.07,2.92,-0.59,0.25,-0.14,0.0
207,10.64,0.29,2.94,-0.38,0.02,0.15,0.0
208,10.89,-0.14,2.34,-0.5,-0.19,0.07,0.0
209,9.39,-0.82,2.47,-0.57,0.13,-0.03,0.0
210,10.62,-1.01,2.48,-0.67,0.14,-0.25,0.0
211,9.9,-0.46,2.4,-0.75,-0.07,-0.07,0.0
212,9.35,-0.37,2.72,-0.6,-0.04,-0.06,0.0
213,10.44,0.56,2.66,-0.4,0.15,0.12,0.0
214,11.13,-0.01,1.62,-0.64,-0.19,0.03,0.0
215,9.01,-1.03,2.34,-0.53,0.11,0.05,0.0
216,10.03,-1.06,3.02,-0.79,0.2,-0.17,0.0
217,11.29,-0.81,1.26,-1.05,-0.19,-0.05,0.0
218,9.48,-0.51,2.78,-0.69,0.18,-0.11,0.0
219,10.84,0.09,2.07,-0.37,-0.19,0.2,0.0
220,10.68,-0.92,1.2,-0.68,-0.03,0.01,0.0
221,9.54,-1.17,2.07,-0.67,0.2,0.03,0.0
222,11.07,-1.1,2.55,-0.81,-0.05,-0.22,0.0
223,9.25,-0.25,1.97,-0.56,0.04,-0.05,0.0
224,10.55,-0.01,2.45,-0.5,-0.0,0.14,0.0
225,11.1,-0.25,1.62,-0.79,0.0,-0.02,0.0
226,9.22,-0.77,2.0,-0.53,0.01,0.05,0.0
227,10.79,-1.52,2.38,-0.8,0.12,-0.24,0.0
228,9.77,-0.34,2.26,-0.75,0.11,-0.08,0.0
229,10.63,-0.18,2.56,-0.46,0.13,0.11,0.0
230,9.05,-0.6,2.17,-0.55,0.13,-0.01,0.0
231,10.59,-1.24,2.49,-0.64,0.16,-0.18,0.0
232,11.2,-0.04,1.37,-0.93,-0.28,-0.06,0.0
233,10.24,-0.2,2.46,-0.83,0.08,-0.1,0.0
234,10.88,0.54,2.8,-0.44,0.21,0.16,0.0
235,10.92,0.37,2.18,-0.77,-0.01,0.1,0.0
236,11.34,-0.8,1.17,-0.35,-0.08,0.0,0.0
237,9.12,-0.81,2.1,-0.29,0.23,0.03,0.0
238,10.92,-0.95,3.1,-0.87,0.01,-0.2,0.0
239,9.37,0.11,2.77,-0.8,0.16,-0.06,0.0
240,10.9,0.2,2.76,-0.44,0.08,0.09,0.0
241,10.87,-0.89,1.5,-0.42,-0.11,0.06,0.0
242,9.17,-0.93,2.46,-0.36,0.08,0.02,0.0
243,10.75,-0.93,2.86,-0.9,0.06,-0.2,0.0
244,9.62,-0.32,2.72,-0.79,0.01,-0.11,0.0
245,10.65,0.16,2.66,-0.41,0.12,0.09,0.0
246,11.26,-0.79,1.22,-0.29,-0.1,-0.02,0.0
247,9.01,-0.74,2.55,-0.28,0.23,0.04,0.0
248,9.6,-0.18,1.76,-0.97,0.06,-0.12,0.0
249,11.08,0.15,2.9,-0.61,0.0,0.14,0.0
250,9.2,-0.85,2.54,-0.53,0.21,0.02,0.0
251,10.51,-1.31,2.74,-0.85,0.13,-0.26,0.0
252,10.95,0.0,1.65,-0.94,-0.16,-0.04,0.0
253,9.85,0.22,2.69,-0.68,0.07,-0.07,0.0
254,10.59,0.27,2.67,-0.39,0.05,0.17,0.0
