,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
589,9.79,0.79,3.09,-0.59,-0.06,-0.0,2.0
590,9.84,0.74,3.13,-0.58,-0.07,-0.0,2.0
591,9.9,0.74,2.87,-0.58,0.0,-0.0,2.0
592,9.56,0.58,4.06,-0.58,0.17,-0.02,2.0
593,9.72,0.78,3.83,-0.64,-0.26,-0.07,2.0
594,9.77,0.78,3.44,-0.63,-0.22,-0.07,2.0
595,9.72,0.8,3.26,-0.66,-0.14,-0.07,2.0
596,9.78,0.66,3.65,-0.69,-0.16,-0.06,2.0
597,9.83,0.73,3.16,-0.7,-0.11,-0.06,2.0
598,9.73,0.75,3.2,-0.72,-0.03,-0.05,2.0
599,9.88,0.79,3.1,-0.66,0.19,-0.04,2.0
600,9.73,0.69,3.47,-0.48,-0.03,-0.04,2.0
601,9.66,0.87,3.5,-0.5,-0.11,0.01,2.0
602,9.89,0.72,3.29,-0.54,-0.09,0.01,2.0
603,9.82,0.62,3.16,-0.58,-0.03,0.02,2.0
604,9.82,0.58,3.02,-0.58,0.01,0.01,2.0
605,9.97,0.69,2.81,-0.61,0.1,-0.0,2.0
606,9.55,1.05,3.51,-0.63,-0.26,-0.02,2.0
607,9.86,0.98,3.02,-0.64,-0.32,0.02,2.0
608,9.97,0.86,2.8,-0.53,-0.15,0.03,2.0
609,9.6,0.7,3.75,-0.55,0.22,-0.02,2.0
610,9.65,0.69,4.02,-0.5,-0.2,-0.02,2.0
611,9.67,0.69,3.66,-0.49,-0.27,0.03,2.0
612,9.74,0.66,3.44,-0.49,-0.16,-0.01,2.0
613,9.79,0.69,3.45,-0.54,0.08,-0.01,2.0
614,9.74,0.74,3.34,-0.6,-0.34,-0.0,2.0
615,9.85,0.75,3.25,-0.55,-0.13,-0.0,2.0
616,9.87,0.73,3.27,-0.59,-0.06,-0.01,2.0
617,9.87,0.7,3.16,-0.6,0.01,-0.02,2.0
618,9.88,0.83,3.06,-0.59,0.08,-0.02,2.0
619,9.83,0.82,3.0,-0.63,0.25,-0.04,2.0
620,9.63,0.6,3.89,-0.59,-0.15,-0.01,2.0
621,9.71,0.54,3.56,-0.62,-0.13,-0.02,2.0
622,9.78,0.62,3.36,-0.61,-0.12,-0.03,2.0
623,9.68,0.62,3.37,-0.6,-0.17,-0.03,2.0
624,9.75,0.56,3.08,-0.62,-0.08,-0.05,2.0
625,9.84,0.62,3.17,-0.63,0.01,-0.05,2.0
626,9.88,0.47,2.78,-0.59,0.02,-0.04,2.0
627,9.85,0.62,2.6,-0.59,0.01,-0.04,2.0
628,9.95,0.42,2.43,-0.67,0.16,-0.02,2.0
629,9.57,0.84,3.38,-0.63,-0.53,-0.05,2.0
630,9.84,0.78,2.98,-0.6,-0.46,-0.01,2.0
631,9.76,0.74,2.76,-0.68,-0.35,-0.0,2.0
632,9.73,0.8,2.69,-0.7,-0.34,-0.07,2.0
633,9.94,0.9,2.34,-0.65,0.07,-0.05,2.0
