Time:31897, AccelX:8.64,AccelY:0.56,AccelZ:4.73, GyroX:-0.77,GyroY:-0.07,GyroZ:-0.01
Time:32431, AccelX:10.20,AccelY:0.80,AccelZ:4.90, GyroX:-0.61,GyroY:0.32,GyroZ:-0.02
Time:32498, AccelX:9.41,AccelY:0.40,AccelZ:4.54, GyroX:-0.54,GyroY:0.04,GyroZ:-0.09
Time:32751, AccelX:8.45,AccelY:1.05,AccelZ:4.56, GyroX:-0.50,GyroY:0.05,GyroZ:-0.02
Time:32860, AccelX:9.66,AccelY:-0.02,AccelZ:4.44, GyroX:-0.81,GyroY:-0.11,GyroZ:-0.28
Time:32916, AccelX:8.45,AccelY:0.32,AccelZ:4.60, GyroX:-0.84,GyroY:-0.12,GyroZ:-0.16
Time:33159, AccelX:10.11,AccelY:0.57,AccelZ:5.51, GyroX:-0.57,GyroY:0.07,GyroZ:-0.02
Time:33267, AccelX:10.75,AccelY:0.57,AccelZ:4.88, GyroX:-0.59,GyroY:0.24,GyroZ:0.03
Time:33573, AccelX:8.79,AccelY:0.51,AccelZ:4.58, GyroX:-0.78,GyroY:0.09,GyroZ:-0.06
Time:34045, AccelX:10.44,AccelY:0.78,AccelZ:5.19, GyroX:-0.47,GyroY:0.41,GyroZ:0.05
Time:34132, AccelX:8.88,AccelY:0.60,AccelZ:3.92, GyroX:-0.60,GyroY:0.28,GyroZ:-0.01
Time:34313, AccelX:8.74,AccelY:0.51,AccelZ:4.87, GyroX:-0.49,GyroY:-0.22,GyroZ:0.37
Time:34588, AccelX:9.70,AccelY:-0.12,AccelZ:4.27, GyroX:-0.84,GyroY:0.01,GyroZ:-0.15
Time:34675, AccelX:9.70,AccelY:-0.28,AccelZ:4.83, GyroX:-0.79,GyroY:0.06,GyroZ:-0.17
Time:34814, AccelX:10.50,AccelY:-0.02,AccelZ:5.09, GyroX:-0.53,GyroY:0.25,GyroZ:-0.07
Time:35099, AccelX:8.29,AccelY:-0.05,AccelZ:4.62, GyroX:-0.74,GyroY:-0.04,GyroZ:-0.02
Time:35550, AccelX:11.34,AccelY:0.58,AccelZ:4.67, GyroX:-0.29,GyroY:0.20,GyroZ:0.06
Time:35804, AccelX:8.75,AccelY:0.46,AccelZ:4.07, GyroX:-0.54,GyroY:0.00,GyroZ:0.06
Time:35954, AccelX:9.27,AccelY:-0.04,AccelZ:4.14, GyroX:-0.93,GyroY:0.00,GyroZ:-0.11
Time:36135, AccelX:9.59,AccelY:-0.19,AccelZ:5.14, GyroX:-0.86,GyroY:0.03,GyroZ:-0.10
Time:36295, AccelX:10.96,AccelY:0.86,AccelZ:4.42, GyroX:-0.42,GyroY:0.29,GyroZ:-0.09
Time:36861, AccelX:9.88,AccelY:0.54,AccelZ:5.23, GyroX:-0.37,GyroY:0.03,GyroZ:0.05
Time:37010, AccelX:11.55,AccelY:0.12,AccelZ:4.90, GyroX:-0.46,GyroY:0.25,GyroZ:0.01
Time:37274, AccelX:8.49,AccelY:0.73,AccelZ:3.94, GyroX:-0.50,GyroY:0.03,GyroZ:0.03
Time:37382, AccelX:10.00,AccelY:-0.33,AccelZ:4.43, GyroX:-0.88,GyroY:-0.01,GyroZ:-0.11
Time:37532, AccelX:9.42,AccelY:0.19,AccelZ:5.18, GyroX:-0.64,GyroY:0.01,GyroZ:-0.05
Time:37755, AccelX:11.61,AccelY:1.08,AccelZ:4.90, GyroX:-0.36,GyroY:0.22,GyroZ:0.07
Time:38009, AccelX:8.57,AccelY:0.67,AccelZ:3.62, GyroX:-0.45,GyroY:-0.17,GyroZ:-0.00
Time:38190, AccelX:9.06,AccelY:0.78,AccelZ:3.48, GyroX:-0.45,GyroY:-0.10,GyroZ:-0.03
Time:38433, AccelX:10.78,AccelY:0.96,AccelZ:5.20, GyroX:-0.60,GyroY:0.20,GyroZ:0.03
Time:38635, AccelX:11.43,AccelY:-0.50,AccelZ:3.94, GyroX:-0.54,GyroY:-0.35,GyroZ:0.09
Time:38723, AccelX:8.67,AccelY:1.18,AccelZ:3.69, GyroX:-0.28,GyroY:-0.03,GyroZ:0.11
Time:38820, AccelX:9.93,AccelY:-0.13,AccelZ:4.00, GyroX:-0.78,GyroY:-0.12,GyroZ:0.03
Time:38897, AccelX:9.00,AccelY:0.42,AccelZ:3.71, GyroX:-0.70,GyroY:-0.04,GyroZ:0.06
Time:39078, AccelX:9.58,AccelY:-0.26,AccelZ:4.49, GyroX:-0.78,GyroY:0.23,GyroZ:-0.06
Time:39155, AccelX:11.65,AccelY:1.07,AccelZ:4.90, GyroX:-0.58,GyroY:0.14,GyroZ:-0.15
Time:39409, AccelX:8.76,AccelY:0.06,AccelZ:3.58, GyroX:-0.54,GyroY:-0.04,GyroZ:0.00
Time:39735, AccelX:8.94,AccelY:1.35,AccelZ:4.46, GyroX:-0.57,GyroY:0.21,GyroZ:-0.03
Time:39843, AccelX:10.93,AccelY:0.51,AccelZ:5.19, GyroX:-0.53,GyroY:0.21,GyroZ:0.10
Time:40014, AccelX:11.74,AccelY:-0.09,AccelZ:4.01, GyroX:-0.64,GyroY:-0.12,GyroZ:0.02
Time:40080, AccelX:8.61,AccelY:0.63,AccelZ:4.11, GyroX:-0.42,GyroY:0.03,GyroZ:0.01
Time:40199, AccelX:9.81,AccelY:-0.16,AccelZ:4.04, GyroX:-0.76,GyroY:-0.09,GyroZ:-0.02
Time:40401, AccelX:9.42,AccelY:0.55,AccelZ:4.96, GyroX:-0.65,GyroY:0.08,GyroZ:-0.03
Time:40436, AccelX:9.99,AccelY:0.20,AccelZ:4.99, GyroX:-0.65,GyroY:0.10,GyroZ:0.01
Time:40534, AccelX:11.05,AccelY:1.05,AccelZ:5.04, GyroX:-0.53,GyroY:0.08,GyroZ:-0.10
Time:40714, AccelX:12.44,AccelY:0.22,AccelZ:3.72, GyroX:-0.98,GyroY:-0.42,GyroZ:-0.24
Time:40937, AccelX:9.51,AccelY:1.09,AccelZ:3.34, GyroX:-0.33,GyroY:-0.11,GyroZ:-0.05
Time:41107, AccelX:9.56,AccelY:1.39,AccelZ:4.55, GyroX:-0.38,GyroY:0.22,GyroZ:-0.12
Time:41205, AccelX:11.76,AccelY:0.85,AccelZ:4.83, GyroX:-0.62,GyroY:0.32,GyroZ:0.11
Time:41376, AccelX:11.70,AccelY:0.28,AccelZ:3.99, GyroX:-0.59,GyroY:-0.26,GyroZ:0.13
Time:41453, AccelX:8.52,AccelY:0.83,AccelZ:3.65, GyroX:-0.41,GyroY:0.11,GyroZ:0.01
Time:41550, AccelX:10.25,AccelY:0.07,AccelZ:3.90, GyroX:-0.81,GyroY:-0.14,GyroZ:-0.01
Time:41835, AccelX:10.12,AccelY:-0.11,AccelZ:4.89, GyroX:-0.72,GyroY:0.15,GyroZ:-0.08
Time:41902, AccelX:11.41,AccelY:1.68,AccelZ:4.38, GyroX:-0.71,GyroY:0.22,GyroZ:-0.23
Time:42062, AccelX:11.68,AccelY:0.13,AccelZ:4.04, GyroX:-0.78,GyroY:-0.45,GyroZ:-0.11
Time:42149, AccelX:8.45,AccelY:0.79,AccelZ:3.40, GyroX:-0.43,GyroY:0.10,GyroZ:0.02
Time:42465, AccelX:9.14,AccelY:1.43,AccelZ:4.69, GyroX:-0.73,GyroY:0.23,GyroZ:-0.06
Time:42813, AccelX:8.66,AccelY:1.13,AccelZ:3.45, GyroX:-0.08,GyroY:0.00,GyroZ:0.06
Time:42931, AccelX:10.11,AccelY:-0.30,AccelZ:3.92, GyroX:-0.75,GyroY:-0.04,GyroZ:-0.09
Time:43154, AccelX:9.11,AccelY:0.67,AccelZ:4.76, GyroX:-0.75,GyroY:0.18,GyroZ:-0.12
Time:43220, AccelX:9.50,AccelY:0.02,AccelZ:4.93, GyroX:-0.76,GyroY:0.14,GyroZ:-0.11
Time:43276, AccelX:11.32,AccelY:1.94,AccelZ:4.59, GyroX:-0.71,GyroY:0.16,GyroZ:-0.19
Time:43520, AccelX:8.93,AccelY:1.24,AccelZ:3.76, GyroX:-0.70,GyroY:-0.01,GyroZ:0.02
Time:43877, AccelX:9.69,AccelY:0.82,AccelZ:4.91, GyroX:-0.78,GyroY:0.16,GyroZ:-0.06
Time:43913, AccelX:9.37,AccelY:0.42,AccelZ:5.07, GyroX:-0.61,GyroY:0.15,GyroZ:-0.01
Time:44198, AccelX:8.93,AccelY:0.51,AccelZ:3.22, GyroX:-0.61,GyroY:0.04,GyroZ:0.11
Time:44306, AccelX:9.58,AccelY:-0.07,AccelZ:3.83, GyroX:-0.69,GyroY:0.03,GyroZ:-0.06
Time:44362, AccelX:9.11,AccelY:0.14,AccelZ:3.94, GyroX:-0.62,GyroY:0.04,GyroZ:0.01
Time:44407, AccelX:9.08,AccelY:0.32,AccelZ:4.13, GyroX:-0.63,GyroY:0.04,GyroZ:-0.01
Time:44505, AccelX:9.34,AccelY:0.29,AccelZ:5.09, GyroX:-0.84,GyroY:0.15,GyroZ:-0.06
Time:44894, AccelX:9.16,AccelY:-0.02,AccelZ:4.08, GyroX:-0.38,GyroY:-0.12,GyroZ:-0.01
Time:45231, AccelX:9.56,AccelY:1.58,AccelZ:4.31, GyroX:-0.56,GyroY:0.15,GyroZ:-0.10
Time:45329, AccelX:11.54,AccelY:0.26,AccelZ:4.94, GyroX:-0.65,GyroY:0.23,GyroZ:0.07
Time:45489, AccelX:11.09,AccelY:-0.11,AccelZ:4.00, GyroX:-0.59,GyroY:-0.19,GyroZ:0.06
Time:45566, AccelX:8.90,AccelY:0.79,AccelZ:3.63, GyroX:-0.36,GyroY:0.03,GyroZ:-0.01
Time:45674, AccelX:9.72,AccelY:-0.09,AccelZ:4.03, GyroX:-0.71,GyroY:-0.14,GyroZ:-0.01
Time:45886, AccelX:9.62,AccelY:0.48,AccelZ:4.76, GyroX:-0.76,GyroY:0.18,GyroZ:-0.08
Time:45952, AccelX:9.71,AccelY:-0.17,AccelZ:4.79, GyroX:-0.72,GyroY:0.21,GyroZ:-0.04
Time:46185, AccelX:11.99,AccelY:0.30,AccelZ:3.79, GyroX:-0.83,GyroY:-0.39,GyroZ:-0.17
Time:46262, AccelX:8.39,AccelY:0.79,AccelZ:3.82, GyroX:-0.54,GyroY:0.08,GyroZ:0.01
Time:46672, AccelX:11.18,AccelY:0.26,AccelZ:5.50, GyroX:-0.56,GyroY:0.23,GyroZ:0.16
Time:46832, AccelX:11.48,AccelY:-0.17,AccelZ:3.82, GyroX:-0.41,GyroY:-0.43,GyroZ:-0.06
Time:46919, AccelX:8.82,AccelY:0.45,AccelZ:3.92, GyroX:-0.46,GyroY:-0.02,GyroZ:-0.01
Time:47059, AccelX:9.33,AccelY:0.57,AccelZ:3.64, GyroX:-1.06,GyroY:-0.06,GyroZ:-0.15
Time:47094, AccelX:9.09,AccelY:0.25,AccelZ:3.76, GyroX:-1.10,GyroY:0.03,GyroZ:-0.10
Time:47233, AccelX:9.79,AccelY:-0.24,AccelZ:4.94, GyroX:-1.11,GyroY:0.09,GyroZ:-0.23
Time:47643, AccelX:8.57,AccelY:0.29,AccelZ:4.19, GyroX:-0.73,GyroY:-0.04,GyroZ:0.01
Time:47938, AccelX:10.28,AccelY:0.80,AccelZ:4.89, GyroX:-0.44,GyroY:0.07,GyroZ:0.09
Time:48057, AccelX:11.30,AccelY:-0.35,AccelZ:4.51, GyroX:-0.27,GyroY:0.37,GyroZ:0.13
Time:48321, AccelX:8.32,AccelY:0.33,AccelZ:4.53, GyroX:-0.47,GyroY:0.20,GyroZ:-0.02
Time:48564, AccelX:9.47,AccelY:-0.33,AccelZ:4.96, GyroX:-0.89,GyroY:-0.07,GyroZ:-0.13
Time:48631, AccelX:9.87,AccelY:-0.46,AccelZ:5.78, GyroX:-0.77,GyroY:0.12,GyroZ:-0.04
Time:49020, AccelX:8.01,AccelY:-0.03,AccelZ:4.21, GyroX:-0.48,GyroY:-0.16,GyroZ:0.04
