Time:284823, AccelX:9.68,AccelY:1.28,AccelZ:3.43, GyroX:-0.62,GyroY:-0.14,GyroZ:-0.02
Time:284920, AccelX:9.76,AccelY:1.17,AccelZ:3.39, GyroX:-0.60,GyroY:-0.08,GyroZ:-0.02
Time:284977, AccelX:9.95,AccelY:1.25,AccelZ:3.24, GyroX:-0.60,GyroY:0.00,GyroZ:-0.03
Time:285875, AccelX:9.90,AccelY:1.17,AccelZ:2.29, GyroX:-0.59,GyroY:-0.03,GyroZ:-0.02
Time:286617, AccelX:9.82,AccelY:1.02,AccelZ:3.64, GyroX:-0.60,GyroY:0.41,GyroZ:-0.02
Time:286653, AccelX:9.65,AccelY:1.02,AccelZ:3.45, GyroX:-0.56,GyroY:0.23,GyroZ:-0.03
Time:286709, AccelX:9.63,AccelY:1.11,AccelZ:3.81, GyroX:-0.55,GyroY:0.21,GyroZ:-0.04
Time:287046, AccelX:9.34,AccelY:1.06,AccelZ:4.53, GyroX:-0.63,GyroY:0.19,GyroZ:-0.05
Time:287507, AccelX:9.34,AccelY:1.41,AccelZ:5.09, GyroX:-0.56,GyroY:0.00,GyroZ:-0.04
Time:288250, AccelX:9.65,AccelY:1.12,AccelZ:3.65, GyroX:-0.63,GyroY:-0.15,GyroZ:-0.01
Time:288285, AccelX:9.63,AccelY:1.02,AccelZ:3.50, GyroX:-0.64,GyroY:-0.14,GyroZ:-0.01
Time:288372, AccelX:9.73,AccelY:1.00,AccelZ:3.34, GyroX:-0.65,GyroY:-0.15,GyroZ:-0.01
Time:288460, AccelX:9.87,AccelY:1.12,AccelZ:3.16, GyroX:-0.65,GyroY:-0.09,GyroZ:-0.02
Time:288506, AccelX:9.81,AccelY:1.01,AccelZ:3.13, GyroX:-0.65,GyroY:-0.08,GyroZ:-0.02
Time:291526, AccelX:9.98,AccelY:1.30,AccelZ:2.70, GyroX:-0.57,GyroY:-0.07,GyroZ:-0.02
Time:301846, AccelX:9.82,AccelY:1.38,AccelZ:3.08, GyroX:-0.56,GyroY:0.03,GyroZ:-0.02
Time:302277, AccelX:9.82,AccelY:1.07,AccelZ:2.98, GyroX:-0.59,GyroY:0.04,GyroZ:-0.01
Time:302406, AccelX:9.93,AccelY:1.18,AccelZ:2.94, GyroX:-0.65,GyroY:0.22,GyroZ:-0.01
Time:302660, AccelX:9.69,AccelY:1.22,AccelZ:3.96, GyroX:-0.64,GyroY:0.25,GyroZ:-0.03
Time:303257, AccelX:9.34,AccelY:0.91,AccelZ:4.75, GyroX:-0.58,GyroY:-0.21,GyroZ:-0.14
Time:303396, AccelX:9.73,AccelY:1.34,AccelZ:3.51, GyroX:-0.57,GyroY:-0.50,GyroZ:-0.04
Time:303452, AccelX:9.79,AccelY:1.38,AccelZ:3.09, GyroX:-0.63,GyroY:-0.42,GyroZ:-0.12
Time:303664, AccelX:9.51,AccelY:1.58,AccelZ:3.16, GyroX:-0.62,GyroY:-0.11,GyroZ:-0.10
Time:303751, AccelX:9.65,AccelY:1.72,AccelZ:2.68, GyroX:-0.62,GyroY:-0.07,GyroZ:-0.04
Time:303849, AccelX:9.61,AccelY:1.70,AccelZ:2.75, GyroX:-0.68,GyroY:0.22,GyroZ:0.02
Time:305236, AccelX:9.98,AccelY:1.18,AccelZ:3.00, GyroX:-0.47,GyroY:0.47,GyroZ:-0.05
Time:305272, AccelX:9.60,AccelY:1.13,AccelZ:3.43, GyroX:-0.41,GyroY:0.01,GyroZ:-0.00
Time:309716, AccelX:10.00,AccelY:1.35,AccelZ:2.94, GyroX:-0.73,GyroY:0.16,GyroZ:-0.10
Time:309835, AccelX:9.72,AccelY:1.23,AccelZ:3.14, GyroX:-0.69,GyroY:0.05,GyroZ:-0.08
Time:312470, AccelX:9.76,AccelY:1.57,AccelZ:2.96, GyroX:-0.73,GyroY:0.05,GyroZ:-0.04
Time:317050, AccelX:9.65,AccelY:1.58,AccelZ:3.41, GyroX:-0.69,GyroY:0.24,GyroZ:-0.05
Time:317179, AccelX:9.23,AccelY:1.66,AccelZ:4.47, GyroX:-0.54,GyroY:0.14,GyroZ:-0.03
Time:317797, AccelX:9.62,AccelY:1.41,AccelZ:3.26, GyroX:-0.52,GyroY:-0.12,GyroZ:0.03
Time:318061, AccelX:9.69,AccelY:1.78,AccelZ:3.00, GyroX:-0.51,GyroY:-0.15,GyroZ:0.01
Time:318366, AccelX:9.79,AccelY:1.50,AccelZ:2.72, GyroX:-0.57,GyroY:0.04,GyroZ:-0.00
Time:318475, AccelX:9.69,AccelY:1.38,AccelZ:2.93, GyroX:-0.54,GyroY:0.04,GyroZ:0.03
Time:319342, AccelX:9.89,AccelY:1.53,AccelZ:2.28, GyroX:-0.57,GyroY:-0.29,GyroZ:-0.01
Time:322508, AccelX:9.76,AccelY:1.21,AccelZ:2.90, GyroX:-0.51,GyroY:0.06,GyroZ:0.04
Time:329688, AccelX:9.92,AccelY:1.32,AccelZ:2.43, GyroX:-0.70,GyroY:-0.02,GyroZ:-0.06
Time:338563, AccelX:9.64,AccelY:1.47,AccelZ:3.37, GyroX:-0.56,GyroY:-0.10,GyroZ:0.00
Time:340522, AccelX:9.50,AccelY:1.27,AccelZ:3.86, GyroX:-0.65,GyroY:0.13,GyroZ:-0.01
Time:344821, AccelX:9.51,AccelY:0.91,AccelZ:4.18, GyroX:-0.63,GyroY:0.04,GyroZ:0.01
Time:352355, AccelX:9.85,AccelY:1.63,AccelZ:2.99, GyroX:-0.66,GyroY:0.17,GyroZ:-0.05
Time:358422, AccelX:9.54,AccelY:1.11,AccelZ:3.83, GyroX:-0.54,GyroY:0.04,GyroZ:0.05
Time:359310, AccelX:9.59,AccelY:1.02,AccelZ:3.99, GyroX:-0.65,GyroY:0.05,GyroZ:0.05
Time:360053, AccelX:9.74,AccelY:1.63,AccelZ:3.24, GyroX:-0.58,GyroY:-0.09,GyroZ:-0.02
Time:360171, AccelX:9.79,AccelY:1.65,AccelZ:2.96, GyroX:-0.51,GyroY:-0.10,GyroZ:-0.02
Time:360331, AccelX:9.73,AccelY:1.69,AccelZ:2.90, GyroX:-0.51,GyroY:-0.04,GyroZ:-0.02
Time:360668, AccelX:9.94,AccelY:1.69,AccelZ:2.50, GyroX:-0.48,GyroY:-0.02,GyroZ:0.00
Time:368608, AccelX:9.27,AccelY:1.85,AccelZ:3.15, GyroX:-0.39,GyroY:0.06,GyroZ:0.02
Time:368726, AccelX:9.22,AccelY:0.96,AccelZ:3.61, GyroX:-0.68,GyroY:0.02,GyroZ:0.01
Time:370935, AccelX:9.17,AccelY:1.29,AccelZ:3.07, GyroX:-0.49,GyroY:0.03,GyroZ:-0.05
Time:371053, AccelX:8.93,AccelY:1.04,AccelZ:3.26, GyroX:-0.44,GyroY:0.01,GyroZ:0.03
Time:373096, AccelX:9.09,AccelY:1.81,AccelZ:3.34, GyroX:-0.57,GyroY:0.01,GyroZ:-0.01
Time:373745, AccelX:9.36,AccelY:1.42,AccelZ:3.29, GyroX:-0.47,GyroY:-0.06,GyroZ:0.08
Time:373988, AccelX:9.48,AccelY:1.35,AccelZ:3.16, GyroX:-0.53,GyroY:0.09,GyroZ:0.04
Time:376186, AccelX:9.17,AccelY:1.49,AccelZ:3.23, GyroX:-0.61,GyroY:0.35,GyroZ:-0.01
Time:376263, AccelX:9.18,AccelY:1.50,AccelZ:3.81, GyroX:-0.51,GyroY:0.15,GyroZ:-0.02
